TimeStamp	Usage
1446361200	1960
1446362100	1480
1446363000	1760
1446363900	1720
1446364800	1680
1446365700	1800
1446366600	1680
1446367500	1560
1446368400	1520
1446369300	1800
1446370200	1720
1446371100	1680
1446372000	2240
1446372900	2840
1446373800	2880
1446374700	1800
1446375600	1600
1446376500	1680
1446377400	1480
1446378300	2000
1446379200	1480
1446380100	2040
1446381000	2960
1446381900	1600
1446382800	1520
1446383700	1520
1446384600	1560
1446385500	2520
1446386400	2200
1446387300	1360
1446388200	1320
1446389100	1600
1446390000	1600
1446390900	1640
1446391800	1640
1446392700	1600
1446393600	1560
1446394500	1560
1446395400	1840
1446396300	1360
1446397200	1440
1446398100	1440
1446399000	1240
1446399900	1040
1446400800	1200
1446401700	1720
1446402600	1440
1446403500	1560
1446404400	1480
1446405300	1160
1446406200	1400
1446407100	1920
1446408000	1600
1446408900	1240
1446409800	1800
1446410700	1280
1446411600	2120
1446412500	2080
1446413400	1960
1446414300	2000
1446415200	2200
1446416100	2320
1446417000	1920
1446417900	2840
1446418800	2240
1446419700	2480
1446420600	2680
1446421500	2760
1446422400	2320
1446423300	3000
1446424200	2920
1446425100	2320
1446426000	2400
1446426900	2240
1446427800	2520
1446428700	2040
1446429600	2680
1446430500	2160
1446431400	1920
1446432300	2320
1446433200	2480
1446434100	1840
1446435000	2160
1446435900	2240
1446436800	2160
1446437700	1800
1446438600	1800
1446439500	2120
1446440400	2560
1446441300	1880
1446442200	1960
1446443100	1960
1446444000	2400
1446444900	1840
1446445800	1760
1446446700	2280
1446447600	2240
1446448500	1800
1446449400	1760
1446450300	1880
